001@CGV@CGV Gò Vấp@Tầng 5 TTTM Vincom Plaza Gò Vấp, 12 Phan Văn Trị, Phường 7, Quận Gò Vấp@10.826823@106.689183@https://www.cgv.vn/media/cinema/c/g/cgv-mgv-2_1.png@1900 6017@
002@CGV@CGV Thủ Đức@Tầng 5, TTTM Vincom Thủ Đức, 216 Võ Văn Ngân, Phường Bình Thọ, Quận Thủ Đức@10.850545@106.765287@https://www.cgv.vn/media/cinema/t/h/thu-duc-1-large.png@1900 6017@
003@CGV@CGV Saigonres Nguyễn Xí@Tầng 4-5, Saigonres Plaza, 79/81 Nguyễn Xí, P 26, Q Bình Thạnh@10.816452@106.707238@https://www.cgv.vn/media/cinema/n/g/nguyen-xi-2.png@1900 6017@
004@CGV@CGV Pearl Plaza@Tầng 5, Pearl Plaza, 561A Điện Biên Phủ, P.25, Q.Bình Thạnh, TP.HCM@10.800076@106.718445@https://www.cgv.vn/media/cinema/s/s/ssg-980-500.png@1900 6017@
005@CGV@CGV Thảo Điền Pearl@Tầng 2, Thảo Điền Mall, 12 Quốc Hương, Phường Thảo Điền, Quận 2, TP. Hồ Chí Minh@10.801744@106.732824@https://www.cgv.vn/media/cinema/t/h/thaodien-4.png@1900 6017@
